Claim,Literature,Counterexample,ControlledEvidence,AlternativeExplanation,OpenQuestion,Confidence,Status
Support representation is an information bottleneck,Preliminary: support is the only class-conditioning source at inference,TODO,TODO,Backbone or decoder capacity,Does this remain true with strong matching methods?,Low,Partial
Representation families exhibit recurring failures under controlled settings,Preliminary: literature usually evaluates standard mIoU rather than duplicate/noise isolation,TODO,TODO,Training instability or sampling variance,Are failures common across multiple families?,Low,Partial
Information-aware support encoder alleviates the failures,Not yet established,TODO,TODO,Prototype selection or extra parameters,Is SIE distinct from multi-prototype selection?,Low,Unverified
Red Flag: Information Weighting may be functionally equivalent to prototype allocation/selection,Current L02 evidence shows Multi-Prototype performs prototype construction/allocation/matching; independent information-selection objective not found yet,TODO,TODO,Terminology or implementation differences may hide functional equivalence,Does L02 show a distinct selection target and optimization objective?,Medium,Open
Multi-Prototype is functionally equivalent to SIE,Current evidence is insufficient,TODO,TODO,Prototype selection may differ from support information weighting,Can objective and training signal be shown to differ?,Low,Open
Multi-Prototype primarily optimizes prototype construction/allocation/matching,ASGNet/RPGM/TPSN/ProtoFormer preliminary analysis,TODO,TODO,Method descriptions may hide implicit information weighting,Do they explicitly optimize reliability/redundancy?,Medium,Partial
Pattern diversity is an open gap,Current evidence shows extensive Multi-Prototype research,TODO,TODO,Terminology and coverage differences,What remains beyond pattern diversity?,High,Rejected
Support noise is absent from all prior work,Related noisy-support, pseudo-label and uncertainty work exists but targets different settings,TODO,TODO,Related work may be closer than current map suggests,What is specific to support representation?,Low,Rejected
Duplicate support is explicitly studied in FSS,No direct prior study found in current search,TODO,TODO,Search coverage may be incomplete,Can controlled duplicate protocol reveal a recurring issue?,Low,Open
Memory has no explicit information filtering objective,Preliminary L03 analysis; mainstream Memory targets storage, transfer, adaptation or matching,TODO,TODO,MM-Net quality weighting may be functionally close,Does L04 show a distinct objective and training signal?,Medium,Partial
SIE is distinct from MM-Net quality-weighted prototype,MM-Net includes support quality weighting,TODO,TODO,SIE may reduce to quality-weighted prototype,What information unit and objective distinguish SIE?,Low,Open
